id,group,quest_timing,fps_wk_hr,total_wk_hr,roleplay_wk_hr,strategy_wk_hr,years_play,gaming_ability_connection,media_reports,choice_famil_RT,choice_famil_correct_sum,simon_famil_RT,simon_famil_correct_sum,alt_famil_RT,alt_famil_correct_sum,digit_famil_correct_sum,digit_famil_max,choice_1_RT,choice_2_RT,choice_1_correct,choice_2_correct,choice_mean_RT,choice_total_correct,simon_1_RT,simon_2_RT,simon_1_correct,simon_2_correct,simon_mean_RT,simon_total_correct,alt_1_RT,alt_2_RT,alt_1_correct,alt_2_correct,alt_mean_RT,alt_total_correct,digit_1_correct,digit_2_correct,digit_1_max,digit_2_max,average_digit_max
1,1,1,2,3,3,3,5,7,2,370.375,8,680.25,8,583.5,2,4,4,314.708333333333,340.75,24,24,327.729166666667,48,409.375,451.541666666667,19,21,430.458333333333,40,1070.29166666667,829.833333333333,21,21,950.0625,42,4,7,5,9,7
2,1,1,6,6,6,2,5,10,2,378.616249989136,8,511.770624980272,8,4334.35562500381,5,4,4,300.887916663972,273.56458332603,24,24,287.226249995001,48,420.229374988897,448.789791662421,24,24,434.509583325659,48,1323.92020833746,830.400416671182,23,22,1077.16031250432,45,7,5,7,7,7
3,1,1,2,6,6,3,5,10,2,477.071249995788,8,553.485000011278,8,1325.45875000505,8,4,4,430.722708331208,380.543124990557,24,24,405.632916660882,48,478.277291673294,508.803750000273,24,24,493.540520836784,48,847.335625003325,950.886875002955,24,23,899.11125000314,47,4,6,5,8,6.5
4,1,1,1,6,5,4,5,8,1,407.648124994012,8,470.38187502767,7,1311.9137500762,8,4,4,325.785000003331,341.751250001835,23,23,333.768125002583,46,438.865208338636,456.146041707446,20,24,447.505625023041,44,843.844166685206,878.53041664736,23,24,861.187291666283,47,8,8,10,10,10
5,1,1,3,4,1,1,5,10,2,349.5,8,705,8,1772.125,7,4,4,378.416666666667,339.5,23,24,358.958333333333,47,514.916666666667,534,22,23,524.458333333333,45,1072.625,1077.45833333333,24,23,1075.04166666667,47,6,2,4,4,4
6,1,1,4,6,1,1,5,9,1,513.056874999165,8,475.274375006848,8,2048.27249999653,8,4,4,412.207500000174,365.051875001276,24,24,388.629687500725,48,458.671041669732,451.083958336919,24,24,454.877500003325,48,1204.49124999989,1162.75312500147,24,23,1183.62218750068,47,7,6,9,7,8
7,1,1,2,6,1,1,5,8,2,359.527499989781,8,716.981875004422,8,1982.80812500161,7,4,4,275.917500007684,288.447499997953,24,24,282.182500002818,48,580.096249997344,672.717041666834,20,23,626.406645832089,43,1238.01104165614,917.112083336785,23,23,1077.56156249646,46,4,5,5,7,6
8,1,1,1,6,3,5,5,2,2,788.635999990147,6,671.851874983986,8,1792.4606250308,8,4,4,434.530624993689,362.812708316293,24,24,398.671666654991,48,508.82520833693,506.392499994642,24,23,507.608854165786,47,986.805416663022,877.356874984495,22,24,932.081145823759,46,5,4,5,6,5.5
9,1,1,2,6,3,5,5,9,1,293.014374999871,8,387.232499999868,7,994.060624999861,8,4,4,294.532291666618,245.049375000123,24,24,269.79083333337,48,351.717083333328,376.217916666631,23,24,363.967499999979,47,724.884791666796,768.34083333343,24,21,746.612812500113,45,8,8,7,6,6.5
10,1,1,2,6,6,3,5,10,1,455.149999999776,8,507.996874999662,7,1094.9412500031,7,4,4,400.61000000181,395.730624999487,24,24,398.170312500649,48,466.111666664801,428.003541665627,24,22,447.057604165214,46,757.470208331142,720.395625002008,23,23,738.932916666575,46,8,7,5,7,6
11,1,1,3,5,2,2,5,8,1,497.5,8,564.875,7,1535.375,7,4,4,520.208333333333,372.75,24,24,446.479166666667,48,615.708333333333,519.708333333333,23,23,567.708333333333,46,1080.125,1077.20833333333,22,24,1078.66666666667,46,9,9,11,11,11
12,1,1,4,6,4,1,5,10,1,479.514374994324,7,489.738750016841,8,1069.13312500546,6,4,4,527.375208329062,316.916250005306,22,24,422.145729167184,46,438.868124993557,547.408541664481,23,22,493.138333329019,45,1314.37333333209,1120.46062499091,16,19,1217.4169791615,35,8,8,4,5,4.5
13,1,1,1,5,2,5,5,10,2,292.568750155624,8,412.558750074822,7,1370.6562500447,7,3,0,335.884791643669,285.608333341467,24,24,310.746562492568,48,425.123125004272,418.188750025972,23,24,421.655937515122,47,894.243958347943,839.749166664357,23,21,866.99656250615,44,4,3,6,5,5.5
14,1,1,3,6,1,3,5,10,2,293.125,8,535.25,8,1138.75,7,4,4,280.916666666667,266.208333333333,24,23,273.5625,47,484.291666666667,503.416666666667,23,22,493.854166666667,45,1050.83333333333,980.333333333333,23,23,1015.58333333333,46,6,5,8,7,7.5
15,1,1,2,6,4,6,5,8,2,537.719374999937,8,573.328749999973,8,1845.00437500003,6,4,4,461.068749999868,496.814583333276,24,24,478.941666666572,48,425.813541666617,406.28854166653,24,23,416.051041666574,47,1347.88499999998,979.861249999925,23,23,1163.87312499995,46,8,9,10,11,10.5
16,1,1,1,4,1,3,5,9,1,1103.485,4,518.875,7,1090.625,5,4,4,376.541666666667,386.5,24,24,381.520833333333,48,592.125,565.625,22,23,578.875,45,1361.875,968.25,22,22,1165.0625,44,5,6,6,6,6
17,1,1,3,6,6,1,5,10,1,650.5,8,581.25,8,2045.625,8,4,4,463.375,317.458333333333,24,24,390.416666666667,48,548.661666666667,503,20,20,525.830833333333,40,1197.375,1104.83333333333,22,22,1151.10416666667,44,8,9,4,11,7.5
18,1,1,4,6,1,2,5,10,1,380.121249982039,8,654.781875025947,8,1296.53749997669,5,4,4,407.054041657653,366.680833341282,22,24,386.867437499468,46,603.671041671381,605.714374983412,23,21,604.692708327396,44,931.550624988934,602.734166677692,9,14,767.142395833313,23,5,7,7,6,6.5
19,1,1,3,4,1,2,5,9,1,423.786250001285,8,483.33687500417,7,1094.40812499452,8,4,4,374.954583331904,316.121458334237,23,24,345.53802083307,47,419.395416667006,454.579374997896,22,22,436.987395832451,44,737.651041664018,815.095416665523,22,22,776.373229164771,44,4,4,6,6,6
20,1,1,6,6,2,6,5,2,1,330.053750018124,8,635.323124995921,7,1376.32124999072,5,4,4,302.326250016146,292.361041661934,24,22,297.34364583904,46,504.379583328652,461.717708337043,22,23,483.048645832848,45,1165.83187501722,1005.28166667694,17,22,1085.55677084708,39,4,3,6,5,5.5
21,1,1,3,6,1,4,5,6,1,459.735625005123,8,541.171249999024,8,1244.54374999914,6,4,4,391.827083332222,338.657291663064,24,24,365.242187497643,48,470.018333334641,487.071250005101,22,22,478.544791669871,44,1039.18937500445,913.461874998272,16,18,976.325625001361,34,7,6,8,8,8
22,1,1,1,2,4,2,4,7,1,474.276875029318,8,555.219374989974,7,1753.91374998435,5,4,4,395.526874999632,365.173749999182,24,24,380.350312499407,48,471.393958340438,481.429791669749,21,23,476.411875005094,44,774.405625008512,662.55916665735,24,22,718.482395832931,46,6,5,6,5,5.5
23,1,1,6,4,2,2,5,8,1,500.130625000111,8,616.787500000328,8,1305.89750000013,7,4,4,424.252375000186,344.021041666793,23,24,384.13670833349,47,598.667083333415,657.05291666662,21,22,627.860000000017,43,895.856458333356,818.902083333493,21,20,857.379270833424,41,4,6,6,8,7
24,1,1,1,6,1,1,5,7,1,387,8,492.5,7,1597.75,8,4,4,385.708333333333,327.333333333333,24,24,356.520833333333,48,504.375,474.208333333333,23,24,489.291666666667,47,845.416666666667,876.583333333333,24,24,861,48,6,8,6,7,6.5
25,1,1,1,6,5,1,5,10,2,390.66437499423,8,413.203125004657,7,1203.66812500288,4,4,4,350.559166659271,319.1666666656,24,24,334.862916662435,48,431.753541665482,421.084791664422,22,23,426.419166664952,45,1123.10854166814,806.933541665785,23,24,965.021041666963,47,8,9,9,11,10
26,1,1,2,4,1,2,5,8,2,394.925625000042,8,505.457499999976,8,920.024374999912,6,4,4,349.787291666607,340.913958333357,24,24,345.350624999982,48,450.715625000005,465.410416666695,24,22,458.06302083335,46,958.652083333333,1075.76208333332,16,20,1017.20708333333,36,6,5,7,7,7
27,1,1,1,5,1,1,5,8,2,413.083125000412,7,448.497500005033,7,852.07249999803,7,4,4,381.63854166487,342.02500000174,24,24,361.831770833305,48,449.481249999129,429.531041669785,20,22,439.506145834457,42,822.370208334178,835.782291665964,23,22,829.076250000071,45,4,3,3,5,4
28,1,1,6,6,6,6,5,8,1,352.602500017383,8,585.013750009239,7,1132.8793749999,5,4,4,473.278541651477,656.845500011781,23,23,565.062020831629,46,555.748333339579,570.211458349756,24,23,562.979895844668,47,1325.30770834031,996.063749984993,16,21,1160.68572916265,37,9,7,11,8,9.5
29,1,1,1,5,1,2,5,5,1,328.262500013807,8,560.815624994575,7,2105.26187498181,8,4,4,334.555624989055,357.54979167056,24,24,346.052708329808,48,501.089166665527,514.153750002151,22,22,507.621458333839,44,1009.95541666149,826.88187500753,23,21,918.418645834512,44,5,5,7,7,7
30,1,1,1,5,3,3,5,10,1,370.142500002657,8,607.895000000264,1,1287.94187500171,6,4,4,256.70604166559,262.111666665684,23,24,259.408854165637,47,524.71729166579,410.910416666108,24,22,467.813854165949,46,1044.96666666788,1166.9152083335,21,22,1105.94093750069,43,4,5,4,7,5.5
31,1,1,1,4,1,1,5,7,2,408.263124991208,8,487.404375016922,7,981.39749999973,8,4,4,414.496249994651,401.461875017655,24,24,407.979062506153,48,557.269583359206,467.184166695612,23,23,512.226875027409,46,937.349166672599,1017.75312500346,23,20,977.55114583803,43,4,6,3,8,5.5
